topic number,topic ngram 1,topic ngram 2,topic ngram 3,topic ngram 4,topic ngram 5,topic ngram 6,topic ngram 7,topic ngram 8,topic ngram 9,topic ngram 10,topicId,count
46,evening admin pls post,discoverer raises,good evening admin,hiv know,good evening admin pls,evening admin pls,hiv know make,day sex,ck boss,maid plan kn ck,46,17
47,high cost,high cost living,russian ukrainian,government spokesperson,cost living,petroleum products,19 crisis,government measures,basic necessities,mummy delly,47,17
48,emphasized importance community,involvement campaign stating,collaboration efforts,campaign stating collaboration efforts,campaign stating collaboration,campaign stating,community involvement,community involvement campaign,polio emphasized importance community,involvement campaign stating collaboration,48,17
49,vaccine storage,capacity national,level nigeria,vaccine storage capacity national,vaccine storage capacity,capacity national level nigeria,expanding vaccine,national level nigeria speaking,storage capacity national,storage capacity national level,49,16
50,diphtheria dangerous,diphtheria dangerous diphtheria,dangerous diphtheria,diphtheria killed,diphtheria killed 26,killed 26 people bauchi,26 people bauchi state,killed 26 people,26 people,diphtheria killed 26 people,50,16
51,kids 4x vaccines,4x vaccines,kids 4x,today did high school,talking hpv vaccine right,school just checked,apparently talking hpv,shot record dtp polio,apparently talking hpv vaccine,school just checked shot,51,15
52,apostle chibuzor,years looking,help post son,looking wife amman,god young man 30s,post son,help post son god,wife amman widow,post son god,young man 30s finished,52,15
53,oral vaccine,zachstorylive ma_ttcrysis madipuppy17 stkirsch,kids polio vaccine,like don kids,like don kids polio,inventions polio vaccine lotion,kids polio vaccine bloody,inventions polio,injection atm polio outbreak,like whiny,53,15
54,yellow card pay higher,date believe relationship easy,polio vaccine indicated,indicated yellow card pay,date believe,indicated yellow,result disastrous accidentally,higher like,got appointment just updated,thanks agent,54,15
55,nphcdang pioneer,gavi supporting nphcdang pioneer,week https,pioneer use novel,pioneer use novel oral,week https k3o3d7bzys,https k3o3d7bzys,children week https,children week https k3o3d7bzys,pioneer use,55,15
56,approved vaccine,gavi approved vaccine,gavi approved,new gavi,new gavi approved,new gavi approved vaccine,lowering barriers,paralysis prevent,including polio lowering barriers,kids safe,56,15
